,member_id,display_name,list_name,full_title,address as,constituency,member_party,gender
0,8,Mrs Theresa May,"May, Mrs Theresa",Rt Hon Theresa May MP,Mrs May,Maidenhead,Conservative,F
1,14,John Redwood,"Redwood, John",Rt Hon John Redwood MP,John Redwood,Wokingham,Conservative,M
2,36,Dame Eleanor Laing,"Laing, Dame Eleanor",Rt Hon Dame Eleanor Laing MP,Dame Eleanor Laing,Epping Forest,Conservative,F
3,39,Sir John Whittingdale,"Whittingdale, Sir John",Sir John Whittingdale MP,,Maldon,Conservative,M
4,40,Sir Bernard Jenkin,"Jenkin, Sir Bernard",Sir Bernard Jenkin MP,Sir Bernard,Harwich and North Essex,Conservative,M
5,54,Sir Julian Lewis,"Lewis, Sir Julian",Rt Hon Sir Julian Lewis MP,Sir Julian Lewis,New Forest East,Conservative,M
6,55,Sir Desmond Swayne,"Swayne, Sir Desmond",Rt Hon Sir Desmond Swayne MP,Sir Desmond,New Forest West,Conservative,M
7,62,Dr Alan Whitehead,"Whitehead, Dr Alan",Dr Alan Whitehead MP,Dr Whitehead,"Southampton, Test",Labour,M
8,69,Sir Oliver Heald,"Heald, Sir Oliver",Rt Hon Sir Oliver Heald KC MP,Sir Oliver,North East Hertfordshire,Conservative,M
9,76,Damian Green,"Green, Damian",Rt Hon Damian Green MP,Damian Green,Ashford,Conservative,M
10,87,Sir Roger Gale,"Gale, Sir Roger",Rt Hon Sir Roger Gale MP,Sir Roger,North Thanet,Conservative,M
11,103,Sir Paul Beresford,"Beresford, Sir Paul",Sir Paul Beresford MP,Sir Paul,Mole Valley,Conservative,M
12,104,Crispin Blunt,"Blunt, Crispin",Crispin Blunt MP,Mr Blunt,Reigate,Conservative,M
13,111,Nick Gibb,"Gibb, Nick",Rt Hon Nick Gibb MP,Nick Gibb,Bognor Regis and Littlehampton,Conservative,M
14,114,Tim Loughton,"Loughton, Tim",Tim Loughton MP,Tim Loughton,East Worthing and Shoreham,Conservative,M
15,117,Sir Peter Bottomley,"Bottomley, Sir Peter",Sir Peter Bottomley MP,Sir Peter,Worthing West,Conservative,M
16,140,Dame Margaret Hodge,"Hodge, Dame Margaret",Rt Hon Dame Margaret Hodge MP,Dame Margaret Hodge,Barking,Labour,F
17,146,Barry Gardiner,"Gardiner, Barry",Barry Gardiner MP,Barry Gardiner,Brent North,Labour,M
18,150,Ms Harriet Harman,"Harman, Ms Harriet",Rt Hon Harriet Harman KC MP,Ms Harman,Camberwell and Peckham,Labour,F
19,152,Sir Iain Duncan Smith,"Duncan Smith, Sir Iain",Rt Hon Sir Iain Duncan Smith MP,Sir Iain Duncan Smith,Chingford and Woodford Green,Conservative,M
20,155,Geraint Davies,"Davies, Geraint",Geraint Davies MP,Geraint Davies,Swansea West,Independent,M
21,163,Sir Stephen Timms,"Timms, Sir Stephen",Rt Hon Sir Stephen Timms MP,Sir Stephen Timms,East Ham,Labour,M
22,165,Clive Efford,"Efford, Clive",Clive Efford MP,Clive Efford,Eltham,Labour,M
23,172,Ms Diane Abbott,"Abbott, Ms Diane",Rt Hon Diane Abbott MP,Ms Abbott,Hackney North and Stoke Newington,Independent,F
24,177,Gareth Thomas,"Thomas, Gareth",Gareth Thomas MP,Gareth Thomas,Harrow West,Labour (Co-op),M
25,178,John McDonnell,"McDonnell, John",Rt Hon John McDonnell MP,John McDonnell,Hayes and Harlington,Labour,M
26,181,John Cryer,"Cryer, John",John Cryer MP,John Cryer,Leyton and Wanstead,Labour,M
27,185,Jeremy Corbyn,"Corbyn, Jeremy",Rt Hon Jeremy Corbyn MP,Jeremy Corbyn,Islington North,Independent,M
28,188,Ed Davey,"Davey, Ed",Rt Hon Ed Davey MP,,Kingston and Surbiton,Liberal Democrat,M
29,193,Siobhain McDonagh,"McDonagh, Siobhain",Siobhain McDonagh MP,Siobhain McDonagh,Mitcham and Morden,Labour,F
30,199,Ms Karen Buck,"Buck, Ms Karen",Ms Karen Buck MP,Ms Buck,Westminster North,Labour,F
31,206,Mr David Lammy,"Lammy, Mr David",Rt Hon David Lammy MP,Mr Lammy,Tottenham,Labour,M
32,223,Dr Liam Fox,"Fox, Dr Liam",Rt Hon Dr Liam Fox MP,Dr Fox,North Somerset,Conservative,M
33,230,Mr Ben Bradshaw,"Bradshaw, Mr Ben",Rt Hon Ben Bradshaw MP,Mr Bradshaw,Exeter,Labour,M
34,234,Sir Gary Streeter,"Streeter, Sir Gary",Sir Gary Streeter MP,Sir Gary Streeter,South West Devon,Conservative,M
35,242,Sir Christopher Chope,"Chope, Sir Christopher",Sir Christopher Chope MP,Sir Christopher,Christchurch,Conservative,M
36,245,Sir Robert Syms,"Syms, Sir Robert",Sir Robert Syms MP,Sir Robert,Poole,Conservative,M
37,249,Sir Geoffrey Clifton-Brown,"Clifton-Brown, Sir Geoffrey",Sir Geoffrey Clifton-Brown MP,Sir Geoffrey,The Cotswolds,Conservative,M
38,253,Mr Laurence Robertson,"Robertson, Mr Laurence",Mr Laurence Robertson MP,Mr Robertson,Tewkesbury,Conservative,M
39,261,James Gray,"Gray, James",James Gray MP,James Gray,North Wiltshire,Conservative,M
40,280,Michael Fabricant,"Fabricant, Michael",Michael Fabricant MP,Michael Fabricant,Lichfield,Conservative,M
41,288,Sir William Cash,"Cash, Sir William",Sir William Cash MP,Sir William,Stone,Conservative,M
42,298,Steve McCabe,"McCabe, Steve",Steve McCabe MP,Steve McCabe,"Birmingham, Selly Oak",Labour,M
43,318,John Spellar,"Spellar, John",Rt Hon John Spellar MP,,Warley,Labour,M
44,328,Margaret Beckett,"Beckett, Margaret",Rt Hon Margaret Beckett MP,Margaret Beckett,Derby South,Labour,F
45,345,Sir Edward Leigh,"Leigh, Sir Edward",Rt Hon Sir Edward Leigh MP,Sir Edward,Gainsborough,Conservative,M
