,member_name,member_id,member_party,member_json
0,Mrs Theresa May,8,Conservative,"{'value': {'id': 8, 'nameListAs': 'May, Mrs Theresa', 'nameDisplayAs': 'Mrs Theresa May', 'nameFullTitle': 'Rt Hon Theresa May MP', 'nameAddressAs': 'Mrs May', 'latestParty': {'id': 4, 'name': 'Conservative', 'abbreviation': 'Con', 'backgroundColour': '0000ff', 'foregroundColour': 'ffffff', 'isLordsMainParty': True, 'isLordsSpiritualParty': True, 'governmentType': 0, 'isIndependentParty': False}, 'gender': 'F', 'latestHouseMembership': {'membershipFrom': 'Maidenhead', 'membershipFromId': 3592, 'house': 1, 'membershipStartDate': '1997-05-01T00:00:00', 'membershipEndDate': None, 'membershipEndReason': None, 'membershipEndReasonNotes': None, 'membershipEndReasonId': None, 'membershipStatus': {'statusIsActive': True, 'statusDescription': 'Current Member', 'statusNotes': None, 'statusId': 0, 'status': 0, 'statusStartDate': '2019-12-12T00:00:00'}}, 'thumbnailUrl': 'https://members-api.parliament.uk/api/Members/8/Thumbnail'}, 'links': [{'rel': 'self', 'href': '/Members/8', 'method': 'GET'}, {'rel': 'overview', 'href': '/Members/8', 'method': 'GET'}, {'rel': 'synopsis', 'href': '/Members/8/Synopsis', 'method': 'GET'}, {'rel': 'contactInformation', 'href': '/Members/8/Contact', 'method': 'GET'}]}"
1,John Redwood,14,Conservative,"{'value': {'id': 14, 'nameListAs': 'Redwood, John', 'nameDisplayAs': 'John Redwood', 'nameFullTitle': 'Rt Hon John Redwood MP', 'nameAddressAs': 'John Redwood', 'latestParty': {'id': 4, 'name': 'Conservative', 'abbreviation': 'Con', 'backgroundColour': '0000ff', 'foregroundColour': 'ffffff', 'isLordsMainParty': True, 'isLordsSpiritualParty': True, 'governmentType': 0, 'isIndependentParty': False}, 'gender': 'M', 'latestHouseMembership': {'membershipFrom': 'Wokingham', 'membershipFromId': 3861, 'house': 1, 'membershipStartDate': '1987-06-11T00:00:00', 'membershipEndDate': None, 'membershipEndReason': None, 'membershipEndReasonNotes': None, 'membershipEndReasonId': None, 'membershipStatus': {'statusIsActive': True, 'statusDescription': 'Current Member', 'statusNotes': None, 'statusId': 0, 'status': 0, 'statusStartDate': '2019-12-12T00:00:00'}}, 'thumbnailUrl': 'https://members-api.parliament.uk/api/Members/14/Thumbnail'}, 'links': [{'rel': 'self', 'href': '/Members/14', 'method': 'GET'}, {'rel': 'overview', 'href': '/Members/14', 'method': 'GET'}, {'rel': 'synopsis', 'href': '/Members/14/Synopsis', 'method': 'GET'}, {'rel': 'contactInformation', 'href': '/Members/14/Contact', 'method': 'GET'}]}"
2,Dame Eleanor Laing,36,Conservative,"{'value': {'id': 36, 'nameListAs': 'Laing, Dame Eleanor', 'nameDisplayAs': 'Dame Eleanor Laing', 'nameFullTitle': 'Rt Hon Dame Eleanor Laing MP', 'nameAddressAs': 'Dame Eleanor Laing', 'latestParty': {'id': 4, 'name': 'Conservative', 'abbreviation': 'Con', 'backgroundColour': '0000ff', 'foregroundColour': 'ffffff', 'isLordsMainParty': True, 'isLordsSpiritualParty': True, 'governmentType': 0, 'isIndependentParty': False}, 'gender': 'F', 'latestHouseMembership': {'membershipFrom': 'Epping Forest', 'membershipFromId': 3476, 'house': 1, 'membershipStartDate': '1997-05-01T00:00:00', 'membershipEndDate': None, 'membershipEndReason': None, 'membershipEndReasonNotes': None, 'membershipEndReasonId': None, 'membershipStatus': {'statusIsActive': True, 'statusDescription': 'Current Member', 'statusNotes': None, 'statusId': 0, 'status': 0, 'statusStartDate': '2019-12-12T00:00:00'}}, 'thumbnailUrl': 'https://members-api.parliament.uk/api/Members/36/Thumbnail'}, 'links': [{'rel': 'self', 'href': '/Members/36', 'method': 'GET'}, {'rel': 'overview', 'href': '/Members/36', 'method': 'GET'}, {'rel': 'synopsis', 'href': '/Members/36/Synopsis', 'method': 'GET'}, {'rel': 'contactInformation', 'href': '/Members/36/Contact', 'method': 'GET'}]}"
3,Sir John Whittingdale,39,Conservative,"{'value': {'id': 39, 'nameListAs': 'Whittingdale, Sir John', 'nameDisplayAs': 'Sir John Whittingdale', 'nameFullTitle': 'Sir John Whittingdale MP', 'nameAddressAs': None, 'latestParty': {'id': 4, 'name': 'Conservative', 'abbreviation': 'Con', 'backgroundColour': '0000ff', 'foregroundColour': 'ffffff', 'isLordsMainParty': True, 'isLordsSpiritualParty': True, 'governmentType': 0, 'isIndependentParty': False}, 'gender': 'M', 'latestHouseMembership': {'membershipFrom': 'Maldon', 'membershipFromId': 3595, 'house': 1, 'membershipStartDate': '1992-04-09T00:00:00', 'membershipEndDate': None, 'membershipEndReason': None, 'membershipEndReasonNotes': None, 'membershipEndReasonId': None, 'membershipStatus': {'statusIsActive': True, 'statusDescription': 'Current Member', 'statusNotes': None, 'statusId': 0, 'status': 0, 'statusStartDate': '2019-12-12T00:00:00'}}, 'thumbnailUrl': 'https://members-api.parliament.uk/api/Members/39/Thumbnail'}, 'links': [{'rel': 'self', 'href': '/Members/39', 'method': 'GET'}, {'rel': 'overview', 'href': '/Members/39', 'method': 'GET'}, {'rel': 'synopsis', 'href': '/Members/39/Synopsis', 'method': 'GET'}, {'rel': 'contactInformation', 'href': '/Members/39/Contact', 'method': 'GET'}]}"
4,Sir Bernard Jenkin,40,Conservative,"{'value': {'id': 40, 'nameListAs': 'Jenkin, Sir Bernard', 'nameDisplayAs': 'Sir Bernard Jenkin', 'nameFullTitle': 'Sir Bernard Jenkin MP', 'nameAddressAs': 'Sir Bernard', 'latestParty': {'id': 4, 'name': 'Conservative', 'abbreviation': 'Con', 'backgroundColour': '0000ff', 'foregroundColour': 'ffffff', 'isLordsMainParty': True, 'isLordsSpiritualParty': True, 'governmentType': 0, 'isIndependentParty': False}, 'gender': 'M', 'latestHouseMembership': {'membershipFrom': 'Harwich and North Essex', 'membershipFromId': 3520, 'house': 1, 'membershipStartDate': '1992-04-09T00:00:00', 'membershipEndDate': None, 'membershipEndReason': None, 'membershipEndReasonNotes': None, 'membershipEndReasonId': None, 'membershipStatus': {'statusIsActive': True, 'statusDescription': 'Current Member', 'statusNotes': None, 'statusId': 0, 'status': 0, 'statusStartDate': '2019-12-12T00:00:00'}}, 'thumbnailUrl': 'https://members-api.parliament.uk/api/Members/40/Thumbnail'}, 'links': [{'rel': 'self', 'href': '/Members/40', 'method': 'GET'}, {'rel': 'overview', 'href': '/Members/40', 'method': 'GET'}, {'rel': 'synopsis', 'href': '/Members/40/Synopsis', 'method': 'GET'}, {'rel': 'contactInformation', 'href': '/Members/40/Contact', 'method': 'GET'}]}"
5,Sir Julian Lewis,54,Conservative,"{'value': {'id': 54, 'nameListAs': 'Lewis, Sir Julian', 'nameDisplayAs': 'Sir Julian Lewis', 'nameFullTitle': 'Rt Hon Sir Julian Lewis MP', 'nameAddressAs': 'Sir Julian Lewis', 'latestParty': {'id': 4, 'name': 'Conservative', 'abbreviation': 'Con', 'backgroundColour': '0000ff', 'foregroundColour': 'ffffff', 'isLordsMainParty': True, 'isLordsSpiritualParty': True, 'governmentType': 0, 'isIndependentParty': False}, 'gender': 'M', 'latestHouseMembership': {'membershipFrom': 'New Forest East', 'membershipFromId': 3621, 'house': 1, 'membershipStartDate': '1997-05-01T00:00:00', 'membershipEndDate': None, 'membershipEndReason': None, 'membershipEndReasonNotes': None, 'membershipEndReasonId': None, 'membershipStatus': {'statusIsActive': True, 'statusDescription': 'Current Member', 'statusNotes': None, 'statusId': 0, 'status': 0, 'statusStartDate': '2019-12-12T00:00:00'}}, 'thumbnailUrl': 'https://members-api.parliament.uk/api/Members/54/Thumbnail'}, 'links': [{'rel': 'self', 'href': '/Members/54', 'method': 'GET'}, {'rel': 'overview', 'href': '/Members/54', 'method': 'GET'}, {'rel': 'synopsis', 'href': '/Members/54/Synopsis', 'method': 'GET'}, {'rel': 'contactInformation', 'href': '/Members/54/Contact', 'method': 'GET'}]}"
6,Sir Desmond Swayne,55,Conservative,"{'value': {'id': 55, 'nameListAs': 'Swayne, Sir Desmond', 'nameDisplayAs': 'Sir Desmond Swayne', 'nameFullTitle': 'Rt Hon Sir Desmond Swayne MP', 'nameAddressAs': 'Sir Desmond', 'latestParty': {'id': 4, 'name': 'Conservative', 'abbreviation': 'Con', 'backgroundColour': '0000ff', 'foregroundColour': 'ffffff', 'isLordsMainParty': True, 'isLordsSpiritualParty': True, 'governmentType': 0, 'isIndependentParty': False}, 'gender': 'M', 'latestHouseMembership': {'membershipFrom': 'New Forest West', 'membershipFromId': 3622, 'house': 1, 'membershipStartDate': '1997-05-01T00:00:00', 'membershipEndDate': None, 'membershipEndReason': None, 'membershipEndReasonNotes': None, 'membershipEndReasonId': None, 'membershipStatus': {'statusIsActive': True, 'statusDescription': 'Current Member', 'statusNotes': None, 'statusId': 0, 'status': 0, 'statusStartDate': '2019-12-12T00:00:00'}}, 'thumbnailUrl': 'https://members-api.parliament.uk/api/Members/55/Thumbnail'}, 'links': [{'rel': 'self', 'href': '/Members/55', 'method': 'GET'}, {'rel': 'overview', 'href': '/Members/55', 'method': 'GET'}, {'rel': 'synopsis', 'href': '/Members/55/Synopsis', 'method': 'GET'}, {'rel': 'contactInformation', 'href': '/Members/55/Contact', 'method': 'GET'}]}"
7,Dr Alan Whitehead,62,Labour,"{'value': {'id': 62, 'nameListAs': 'Whitehead, Dr Alan', 'nameDisplayAs': 'Dr Alan Whitehead', 'nameFullTitle': 'Dr Alan Whitehead MP', 'nameAddressAs': 'Dr Whitehead', 'latestParty': {'id': 15, 'name': 'Labour', 'abbreviation': 'Lab', 'backgroundColour': 'ff0000', 'foregroundColour': 'ffffff', 'isLordsMainParty': True, 'isLordsSpiritualParty': False, 'governmentType': 3, 'isIndependentParty': False}, 'gender': 'M', 'latestHouseMembership': {'membershipFrom': 'Southampton, Test', 'membershipFromId': 3761, 'house': 1, 'membershipStartDate': '1997-05-01T00:00:00', 'membershipEndDate': None, 'membershipEndReason': None, 'membershipEndReasonNotes': None, 'membershipEndReasonId': None, 'membershipStatus': {'statusIsActive': True, 'statusDescription': 'Current Member', 'statusNotes': None, 'statusId': 0, 'status': 0, 'statusStartDate': '2019-12-12T00:00:00'}}, 'thumbnailUrl': 'https://members-api.parliament.uk/api/Members/62/Thumbnail'}, 'links': [{'rel': 'self', 'href': '/Members/62', 'method': 'GET'}, {'rel': 'overview', 'href': '/Members/62', 'method': 'GET'}, {'rel': 'synopsis', 'href': '/Members/62/Synopsis', 'method': 'GET'}, {'rel': 'contactInformation', 'href': '/Members/62/Contact', 'method': 'GET'}]}"
8,Sir Oliver Heald,69,Conservative,"{'value': {'id': 69, 'nameListAs': 'Heald, Sir Oliver', 'nameDisplayAs': 'Sir Oliver Heald', 'nameFullTitle': 'Rt Hon Sir Oliver Heald KC MP', 'nameAddressAs': 'Sir Oliver', 'latestParty': {'id': 4, 'name': 'Conservative', 'abbreviation': 'Con', 'backgroundColour': '0000ff', 'foregroundColour': 'ffffff', 'isLordsMainParty': True, 'isLordsSpiritualParty': True, 'governmentType': 0, 'isIndependentParty': False}, 'gender': 'M', 'latestHouseMembership': {'membershipFrom': 'North East Hertfordshire', 'membershipFromId': 3644, 'house': 1, 'membershipStartDate': '1992-04-09T00:00:00', 'membershipEndDate': None, 'membershipEndReason': None, 'membershipEndReasonNotes': None, 'membershipEndReasonId': None, 'membershipStatus': {'statusIsActive': True, 'statusDescription': 'Current Member', 'statusNotes': None, 'statusId': 0, 'status': 0, 'statusStartDate': '2019-12-12T00:00:00'}}, 'thumbnailUrl': 'https://members-api.parliament.uk/api/Members/69/Thumbnail'}, 'links': [{'rel': 'self', 'href': '/Members/69', 'method': 'GET'}, {'rel': 'overview', 'href': '/Members/69', 'method': 'GET'}, {'rel': 'synopsis', 'href': '/Members/69/Synopsis', 'method': 'GET'}, {'rel': 'contactInformation', 'href': '/Members/69/Contact', 'method': 'GET'}]}"
9,Damian Green,76,Conservative,"{'value': {'id': 76, 'nameListAs': 'Green, Damian', 'nameDisplayAs': 'Damian Green', 'nameFullTitle': 'Rt Hon Damian Green MP', 'nameAddressAs': 'Damian Green', 'latestParty': {'id': 4, 'name': 'Conservative', 'abbreviation': 'Con', 'backgroundColour': '0000ff', 'foregroundColour': 'ffffff', 'isLordsMainParty': True, 'isLordsSpiritualParty': True, 'governmentType': 0, 'isIndependentParty': False}, 'gender': 'M', 'latestHouseMembership': {'membershipFrom': 'Ashford', 'membershipFromId': 3297, 'house': 1, 'membershipStartDate': '1997-05-01T00:00:00', 'membershipEndDate': None, 'membershipEndReason': None, 'membershipEndReasonNotes': None, 'membershipEndReasonId': None, 'membershipStatus': {'statusIsActive': True, 'statusDescription': 'Current Member', 'statusNotes': None, 'statusId': 0, 'status': 0, 'statusStartDate': '2019-12-12T00:00:00'}}, 'thumbnailUrl': 'https://members-api.parliament.uk/api/Members/76/Thumbnail'}, 'links': [{'rel': 'self', 'href': '/Members/76', 'method': 'GET'}, {'rel': 'overview', 'href': '/Members/76', 'method': 'GET'}, {'rel': 'synopsis', 'href': '/Members/76/Synopsis', 'method': 'GET'}, {'rel': 'contactInformation', 'href': '/Members/76/Contact', 'method': 'GET'}]}"
